city_name,country,latitude,longitude,max_temperature,humidity,cloudiness,wind speed
La Ronge,CA,55.1001,-105.2842,0.25,74,100,3.64
Kodinsk,RU,58.6881,99.1844,-1.65,89,99,2.75
Port Alfred,ZA,-33.5906,26.891,13.99,76,100,2.68
Coahuayana Viejo,MX,18.7333,-103.6833,24.17,66,41,1.85
Ushuaia,AR,-54.8,-68.3,2.23,88,60,1.36
New Norfolk,AU,-42.7826,147.0587,13.84,79,100,0.75
Atuona,PF,-9.8,-139.0333,26.15,74,24,7.63
Hong Kong,HK,22.2855,114.1577,28.31,82,8,3.13
Punta Arenas,CL,-53.15,-70.9167,5.06,93,100,3.09
Tiarei,PF,-17.5333,-149.3333,31.01,72,69,3.65
Karatau,KZ,43.1667,70.4667,9.1,65,58,9.08
Hilo,US,19.7297,-155.09,28.49,84,100,1.79
East London,ZA,-33.0153,27.9116,16.57,72,58,7.1
Albany,US,42.6001,-73.9662,16.36,47,73,4.07
Vila Franca do Campo,PT,37.7167,-25.4333,14.23,81,38,5.1
Hobart,AU,-42.8794,147.3294,14.03,85,75,3.6
Rikitea,PF,-23.1203,-134.9692,22.98,85,100,5.94
Ponta do Sol,PT,32.6667,-17.1,18.34,86,100,4.9
Saint-Philippe,RE,-21.3585,55.7679,23.77,77,84,5.75
Tymovskoye,RU,50.8456,142.655,0.28,90,100,4.42
Cabedelo,BR,-6.9811,-34.8339,25.37,82,7,4.17
Castro,BR,-24.7911,-50.0119,15.41,94,2,2.33
Sangar,RU,63.9242,127.4739,-5.0,87,94,3.07
Geraldton,AU,-28.7667,114.6,22.23,37,100,7.72
Sitka,US,57.0531,-135.33,7.94,76,100,0.0
Severo-Kuril'sk,RU,50.6789,156.125,1.11,90,88,0.81
Inta,RU,66.0317,60.1659,-6.61,97,82,3.11
Vaini,TO,-21.2,-175.2,26.09,83,75,2.57
Busselton,AU,-33.65,115.3333,20.31,50,100,5.05
Jamestown,US,42.097,-79.2353,22.8,40,0,2.57
Nizwá,OM,22.9333,57.5333,24.57,43,0,0.94
Upernavik,GL,72.7868,-56.1549,-17.75,94,40,3.1
Mwinilunga,ZM,-11.7358,24.4293,15.18,96,12,1.77
Cabo San Lucas,MX,22.8909,-109.9124,25.9,63,0,5.14
Sinnamary,GF,5.3833,-52.95,25.63,89,77,4.17
George Town,MY,5.4112,100.3354,28.96,79,20,0.0
Aklavik,CA,68.2191,-135.0107,0.57,91,100,2.57
Sulangan,PH,11.1373,123.7228,27.99,79,100,4.82
Pasco,US,28.292,-82.4165,26.16,65,22,2.68
Qaanaaq,GL,77.484,-69.3632,-17.41,67,49,3.05
Rocha,UY,-34.4833,-54.3333,18.79,42,0,6.55
Cape Town,ZA,-33.9258,18.4232,14.39,79,0,3.58
Pangnirtung,CA,66.1451,-65.7125,-5.9,88,100,2.24
Pahrump,US,36.2083,-115.9839,24.03,10,7,4.02
High Level,CA,58.5169,-117.136,5.94,84,99,5.83
Itaituba,BR,-4.2761,-55.9836,23.25,96,99,0.89
Barrow,US,71.2906,-156.7887,-6.99,73,75,4.63
Avarua,CK,-21.2078,-159.775,28.03,78,20,2.57
Gazojak,TM,41.1875,61.4036,14.72,43,13,3.28
Chokurdakh,RU,70.6333,147.9167,-13.06,91,25,1.74
Alofi,NU,-19.0595,-169.9187,26.08,79,99,5.19
Lompoc,US,34.6391,-120.4579,26.43,76,0,8.05
Nikolskoye,RU,59.7035,30.7861,7.15,97,100,2.76
Hualmay,PE,-11.0964,-77.6139,19.67,86,51,4.33
Clyde River,CA,70.4692,-68.5914,-13.64,96,100,1.94
Bluff,NZ,-46.6,168.3333,12.67,80,91,13.07
Iqaluit,CA,63.7506,-68.5145,-6.28,85,100,5.81
